task_id,createtime,creater,updater,his_protection_id,cure_employee_name,name,weight,temperature,discription,eventtime,state,hospital_id,hospital_code,hospital_name,add_employee_name,con_category_name,commodity_name,commodity_brand
,2024-08-18 16:19:06,付医生,,122,付医生,加强免疫,,,加强免疫,2024-08-18 16:19:06,1,1,VrAGvMjLwd,萌宠拾光动物医院,,,,
,2025-07-18 00:00:00,付医生,,122,付医生,加强免疫,,,加强免疫,2025-07-18 00:00:00,0,1,VrAGvMjLwd,萌宠拾光动物医院,,,,
,2024-08-18 16:23:32,付医生,,123,付医生,加强免疫,,,加强免疫,2024-08-18 16:23:32,1,1,VrAGvMjLwd,萌宠拾光动物医院,,,,
,2025-07-18 00:00:00,付医生,,123,付医生,加强免疫,,,加强免疫,2025-07-18 00:00:00,0,1,VrAGvMjLwd,萌宠拾光动物医院,,,,
,2024-06-24 15:08:46,付医生,,117,付医生,加强免疫,,,加强免疫,2024-06-24 15:08:46,1,1,VrAGvMjLwd,萌宠拾光动物医院,,,,
,2025-05-24 00:00:00,付医生,,117,付医生,加强免疫,,,加强免疫,2025-05-24 00:00:00,0,1,VrAGvMjLwd,萌宠拾光动物医院,,,,
,2024-07-05 11:07:07,付医生,,121,付医生,加强免疫,,,加强免疫,2024-07-05 11:07:07,1,1,VrAGvMjLwd,萌宠拾光动物医院,,,,
,2025-06-04 00:00:00,付医生,,121,付医生,加强免疫,,,加强免疫,2025-06-04 00:00:00,0,1,VrAGvMjLwd,萌宠拾光动物医院,,,,
,2024-06-29 09:20:56,付医生,,120,付医生,加强免疫,,,加强免疫,2024-06-29 09:20:56,1,1,VrAGvMjLwd,萌宠拾光动物医院,,,,
,2025-05-29 00:00:00,付医生,,120,付医生,加强免疫,,,加强免疫,2025-05-29 00:00:00,0,1,VrAGvMjLwd,萌宠拾光动物医院,,,,
,2024-06-28 09:37:17,付医生,,119,付医生,加强免疫,,,加强免疫,2024-06-28 09:37:17,1,1,VrAGvMjLwd,萌宠拾光动物医院,,,,
,2025-05-28 00:00:00,付医生,,119,付医生,加强免疫,,,加强免疫,2025-05-28 00:00:00,0,1,VrAGvMjLwd,萌宠拾光动物医院,,,,
,2024-07-16 00:00:00,付医生,,118,付医生,三免,,,基础疫苗三免,2024-07-16 00:00:00,0,1,VrAGvMjLwd,萌宠拾光动物医院,,,,
,2024-07-15 14:54:43,付医生,,116,付医生,二免,,,基础疫苗二免,2024-07-15 14:54:43,0,1,VrAGvMjLwd,萌宠拾光动物医院,,,,
,2024-07-11 09:12:16,付医生,,115,付医生,二免,,,基础疫苗二免,2024-07-11 09:12:16,0,1,VrAGvMjLwd,萌宠拾光动物医院,,,,
,2024-08-01 09:12:16,付医生,,115,付医生,三免,,,基础疫苗三免,2024-08-01 09:12:16,1,1,VrAGvMjLwd,萌宠拾光动物医院,,,,
,2024-07-30 00:00:00,付医生,,44,付医生,第1次,,,体内驱虫第1次,2024-07-30 00:00:00,0,1,VrAGvMjLwd,萌宠拾光动物医院,,,,
,2024-06-20 09:13:08,付医生,,43,付医生,第1次,,,体内驱虫第1次,2024-06-20 09:13:08,0,1,VrAGvMjLwd,萌宠拾光动物医院,付医生,,丽可健0.8ml（猫用）,丽可健
,2023-07-21 17:59:08,刘医生,,112,刘医生,首免,,,基础疫苗首免,2023-07-21 17:59:08,1,1,VrAGvMjLwd,萌宠拾光动物医院,付医生,,妙三多猫疫苗（美国辉瑞）,
,2023-08-18 00:00:00,刘医生,,112,刘医生,二免,,,基础疫苗二免,2023-08-18 00:00:00,0,1,VrAGvMjLwd,萌宠拾光动物医院,,,,
,2023-09-16 00:00:00,刘医生,,112,刘医生,三免,,,基础疫苗三免,2023-09-16 00:00:00,0,1,VrAGvMjLwd,萌宠拾光动物医院,付医生,,宠必威@狂犬苗,
,2023-09-16 00:00:00,刘医生,,112,刘医生,狂犬,,,基础疫苗狂犬,2023-09-16 00:00:00,0,1,VrAGvMjLwd,萌宠拾光动物医院,,,,
,2023-07-13 15:36:52,刘医生,,110,刘医生,加强免疫,,,加强免疫,2023-07-13 15:36:52,1,1,VrAGvMjLwd,萌宠拾光动物医院,付医生,,卫佳捌,硕腾
